Price,Open,High,Low,Close
Ticker,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,
2020-01-02,66.86784303993142,67.87303161621094,66.77262930429765,67.87303161621094
2020-01-03,66.84750602902096,68.12445054033702,66.81378055903824,67.51795959472656
2020-01-06,67.02751070483214,69.34287723228258,66.99627473144326,69.31758880615234
2020-01-07,69.44900962487809,69.59976407326137,69.00765768436452,69.18370056152344
2020-01-08,69.16931180182212,70.01383328257931,69.06071230813146,69.6761245727539
2020-01-09,70.51369507317621,70.84842998736566,69.93250016192401,70.40757751464844
2020-01-10,70.88761594044897,71.15887253591534,70.39816153236073,70.86231994628906
2020-01-13,71.17424616511539,71.48319328541425,70.68429987467893,71.41129302978516
2020-01-14,71.40980138157744,71.54022369151787,70.80331039967703,70.94316101074219
2020-01-15,71.06365964443332,71.44847959482189,70.99621627063644,71.37012481689453
2020-01-16,71.68006159560105,71.94041435124791,71.40979626083083,71.91363525390625
2020-01-17,72.52755882003636,73.42067465653932,72.23051437982828,73.36959838867188
2020-01-21,73.34382322473569,73.8833703111752,72.9079269291361,73.50499725341797
2020-01-22,73.8759245867756,74.41397338110437,73.52532192544703,73.58531951904297
2020-01-23,73.76782496757652,74.0628869450804,73.40928463624178,73.62599182128906
2020-01-24,74.02915451930895,74.09758915730573,72.55930047284312,72.70758056640625
2020-01-27,70.99026646132236,71.24019965615449,70.3931962623692,70.99968719482422
2020-01-28,71.49608309873746,72.14373017574707,70.93174708981847,71.93049621582031
2020-01-29,72.32522164792377,72.60689777918915,71.67708278899732,72.23794555664062
2020-01-30,71.3155792213507,72.1660483074748,71.16185099783613,72.11646270751953
2020-01-31,72.79136985685548,72.88112787586384,70.76809153712954,71.05175018310547
2020-02-03,72.4834173068673,73.70581988228172,72.23348411673724,73.52233123779297
2020-02-04,72.12835848746417,72.76558597572388,70.51866160482743,71.6780776977539
2020-02-05,72.58061715621994,72.62871964997271,70.89802869966074,71.7098159790039
2020-02-06,72.00389677738615,73.47077712052415,71.92951458765228,73.19356536865234
2020-02-07,72.7680635245262,73.65374104853788,72.66987603102721,73.34925842285156
2020-02-10,73.25605339560026,74.82557815384178,73.15538394851609,74.81466674804688
2020-02-11,75.04327053759313,75.86696810584262,74.65547678552417,74.88408660888672
2020-02-12,75.17170572454793,75.39188605793423,74.81515553865327,75.30907440185547
2020-02-13,74.88111203769492,75.67207538277923,74.58356816841906,75.04922485351562
2020-02-14,75.10575582931537,75.379494369369,74.66043128930994,75.31403350830078
2020-02-18,75.09633617170891,75.90068528400265,74.93119712969819,75.3492431640625
2020-02-19,75.73406088600595,75.90961191518042,75.42561318763357,75.61851501464844
2020-02-20,75.32790743593482,75.72760378166284,74.5964499569271,75.22773742675781
2020-02-21,74.6123229813126,74.92821644497522,73.31851954400152,73.56497955322266
2020-02-24,70.56924919541633,71.23028967425653,69.76291752799771,70.41105651855469
2020-02-25,70.96349127440813,71.25358934741597,68.45522273304678,68.747802734375
2020-02-26,69.17724388929183,70.10408510430565,68.26329659306435,68.9535903930664
2020-02-27,67.3999329583381,67.90872819863856,65.17333330002323,65.20854187011719
2020-02-28,63.19319723297606,66.57226632635177,62.89069714307615,66.41358184814453
2020-03-02,67.01562107182778,68.80482655090657,65.71685370908082,68.747802734375
2020-03-03,69.31114862306558,69.83233844511692,65.9171948251204,66.33772277832031
