Price,Open,High,Low,Close
Ticker,MSFT,MSFT,MSFT,MSFT
Date,,,,
2020-01-02,150.09021733882216,151.9334939984884,149.66484802100678,151.8295135498047
2020-01-03,149.65544061469248,151.19622386441185,149.4096607117201,149.9390106201172
2020-01-06,148.4832764629302,150.39272928536337,147.9444646847199,150.32655334472656
2020-01-07,150.60071074881336,150.93154722601824,148.71016714066076,148.9559326171875
2020-01-08,150.23203354534573,151.9997015405678,149.3056712613287,151.32855224609375
2020-01-09,152.98276776943587,153.34197562938405,152.21710000371593,153.21908569335938
2020-01-10,153.9091751273673,154.28727811161113,152.35891539033636,152.51016235351562
2020-01-13,152.90717681899122,154.37235114362988,152.43454087063708,154.343994140625
2020-01-14,154.44790330237768,154.6464166554432,152.86930169471557,153.25686645507812
2020-01-15,153.72007035240767,154.96783584765552,153.67281830910034,154.24942016601562
2020-01-16,155.35541857174925,157.1419816102334,155.05292468702913,157.0758056640625
2020-01-17,158.25738972858082,158.30465619935018,156.37629381209493,157.9549102783203
2020-01-21,157.55791362534438,158.985283427841,157.3215956499593,157.3877716064453
2020-01-22,158.2385053152415,158.3235907455817,156.6126365444651,156.6315460205078
2020-01-23,157.09477110583956,157.6713876582786,156.2251225129935,157.59576416015625
2020-01-24,158.34243607605939,158.36134554616424,155.44990736909463,156.0076141357422
2020-01-27,152.3305352170298,154.4385015834786,151.4325299482661,153.39869689941406
2020-01-28,154.81662932456064,156.68826363216436,154.14549435848608,156.40469360351562
2020-01-29,158.65440861589227,159.51460937852576,156.62208010292088,158.8434600830078
2020-01-30,164.52453468683692,164.52453468683692,161.44293985569806,163.32403564453125
2020-01-31,162.78523773584587,162.96482723403622,160.29916867247016,160.91358947753906
2020-02-03,161.10266690413363,164.94993007628167,161.07430990386203,164.8365020751953
2020-02-04,167.44543856138947,170.75388971293165,166.6608612717509,170.26234436035156
2020-02-05,173.95834366438353,174.11903811687424,168.64592151325192,170.0543670654297
2020-02-06,171.06581980124434,173.75984990152529,170.20561909708994,173.5802459716797
2020-02-07,172.8429278537335,175.47078190024337,172.49316753333272,173.8260040283203
2020-02-10,173.53300042903595,178.50512495189932,173.22105900121804,178.37278747558594
2020-02-11,180.21603022567515,180.2632966918459,173.4573438505691,174.3459014892578
2020-02-12,175.42354764661337,175.6787750789202,171.89768776529226,174.60116577148438
2020-02-13,173.06031233701836,176.03791186800555,172.86179897055976,173.6558380126953
2020-02-14,173.22103937911754,175.26282971697995,172.65387058847747,175.20611572265625
2020-02-18,175.4519251827343,177.4275400736451,175.34794469249135,176.98326110839844
2020-02-19,178.2533934525185,178.36713128679526,176.74630929594355,177.51406860351562
2020-02-20,177.20126104182248,177.48562006806304,171.6563251140853,174.80319213867188
2020-02-21,173.61834725384844,173.93114068656777,168.00705551331956,169.2771759033203
